Country ISO3,Country Name,Postcode,Zone Name,CRESTA Scheme,CRESTA ID,Zone Name
AUS,Australia,2359,Bundarra,LowRes,Australia CR47,Northern Slopes
AUS,Australia,2360,Inverell,LowRes,Australia CR47,Northern Slopes
AUS,Australia,2361,Ashford,LowRes,Australia CR47,Northern Slopes
AUS,Australia,2365,Guyra,LowRes,Australia CR48,Mid-North coast
AUS,Australia,2369,Tingha,LowRes,Australia CR47,Northern Slopes
AUS,Australia,2370,Glen Innes,LowRes,Australia CR49,Far North coast
AUS,Australia,2371,Deepwater,LowRes,Australia CR47,Northern Slopes
AUS,Australia,2372,Tenterfield,LowRes,Australia CR47,Northern Slopes
AUS,Australia,2379,Mullaley,LowRes,Australia CR47,Northern Slopes
AUS,Australia,2380,Gunnedah,LowRes,Australia CR47,Northern Slopes
AUS,Australia,2381,Curlewis,LowRes,Australia CR47,Northern Slopes
AUS,Australia,2382,Boggabri,LowRes,Australia CR47,Northern Slopes
AUS,Australia,2386,Burren Junction,LowRes,Australia CR47,Northern Slopes
AUS,Australia,2387,Bulyeroi,LowRes,Australia CR47,Northern Slopes
AUS,Australia,2388,Wee Waa,LowRes,Australia CR47,Northern Slopes
AUS,Australia,2390,Narrabri,LowRes,Australia CR47,Northern Slopes
AUS,Australia,2395,Binnaway,LowRes,Australia CR47,Northern Slopes
AUS,Australia,2396,Baradine,LowRes,Australia CR47,Northern Slopes
AUS,Australia,2397,Bellata,LowRes,Australia CR47,Northern Slopes
AUS,Australia,2398,Gurley,LowRes,Australia CR47,Northern Slopes
AUS,Australia,2399,Pallamallawa,LowRes,Australia CR47,Northern Slopes
AUS,Australia,2400,Moree,LowRes,Australia CR47,Northern Slopes
AUS,Australia,2401,Gravesend,LowRes,Australia CR47,Northern Slopes
AUS,Australia,2402,Warialda,LowRes,Australia CR47,Northern Slopes
AUS,Australia,2403,Delungra,LowRes,Australia CR47,Northern Slopes
AUS,Australia,2404,Bingara,LowRes,Australia CR47,Northern Slopes
AUS,Australia,2405,Garah,LowRes,Australia CR47,Northern Slopes
AUS,Australia,2406,Mungindi,LowRes,Australia CR47,Northern Slopes
AUS,Australia,2408,North Star,LowRes,Australia CR47,Northern Slopes
AUS,Australia,2409,Boonal,LowRes,Australia CR47,Northern Slopes
AUS,Australia,2410,Yetman,LowRes,Australia CR47,Northern Slopes
AUS,Australia,2411,Croppa Creek,LowRes,Australia CR47,Northern Slopes
AUS,Australia,2415,Stroud Road,LowRes,Australia CR48,Mid-North coast
AUS,Australia,2420,Dungog,LowRes,Australia CR47,Northern Slopes
AUS,Australia,2421,Paterson,LowRes,Australia CR47,Northern Slopes
AUS,Australia,2422,Gloucester,LowRes,Australia CR48,Mid-North coast
AUS,Australia,2423,Bulahdelah,LowRes,Australia CR48,Mid-North coast
AUS,Australia,2424,Caffreys Flat,LowRes,Australia CR48,Mid-North coast
AUS,Australia,2425,Stroud,LowRes,Australia CR48,Mid-North coast
AUS,Australia,2426,Coopernook,LowRes,Australia CR48,Mid-North coast
AUS,Australia,2427,Harrington,LowRes,Australia CR48,Mid-North coast
AUS,Australia,2428,Forster,LowRes,Australia CR48,Mid-North coast
AUS,Australia,2429,Wingham,LowRes,Australia CR48,Mid-North coast
AUS,Australia,2430,Taree,LowRes,Australia CR48,Mid-North coast
AUS,Australia,2431,South West Rocks,LowRes,Australia CR48,Mid-North coast
AUS,Australia,2439,Kendall,LowRes,Australia CR48,Mid-North coast
AUS,Australia,2440,Kempsey,LowRes,Australia CR48,Mid-North coast
AUS,Australia,2441,Cooperabung,LowRes,Australia CR48,Mid-North coast
AUS,Australia,2443,Laurieton,LowRes,Australia CR48,Mid-North coast
AUS,Australia,2444,Port Macquarie,LowRes,Australia CR48,Mid-North coast
AUS,Australia,2445,Bonny Hills,LowRes,Australia CR48,Mid-North coast
AUS,Australia,2446,Wauchope,LowRes,Australia CR48,Mid-North coast
AUS,Australia,2447,Macksville,LowRes,Australia CR49,Far North coast
AUS,Australia,2448,Nambucca Heads,LowRes,Australia CR49,Far North coast
AUS,Australia,2449,Bowraville,LowRes,Australia CR49,Far North coast
AUS,Australia,2450,Coffs Harbour,LowRes,Australia CR49,Far North coast
AUS,Australia,2452,Toormina,LowRes,Australia CR49,Far North coast
AUS,Australia,2453,Dorrigo,LowRes,Australia CR49,Far North coast
AUS,Australia,2454,Bellingen,LowRes,Australia CR49,Far North coast
AUS,Australia,2455,Urunga,LowRes,Australia CR49,Far North coast
AUS,Australia,2456,Arrawarra,LowRes,Australia CR49,Far North coast
AUS,Australia,2460,Grafton,LowRes,Australia CR49,Far North coast
AUS,Australia,2462,Tucabia,LowRes,Australia CR49,Far North coast
AUS,Australia,2463,Gulmarrad,LowRes,Australia CR49,Far North coast
AUS,Australia,2464,Yamba,LowRes,Australia CR49,Far North coast
AUS,Australia,2465,Harwood,LowRes,Australia CR49,Far North coast
AUS,Australia,2466,Iluka,LowRes,Australia CR49,Far North coast
AUS,Australia,2469,Bonalbo,LowRes,Australia CR49,Far North coast
AUS,Australia,2470,Casino,LowRes,Australia CR49,Far North coast
AUS,Australia,2471,Coraki,LowRes,Australia CR49,Far North coast
AUS,Australia,2472,Broadwater,LowRes,Australia CR49,Far North coast
AUS,Australia,2473,Evans Head,LowRes,Australia CR49,Far North coast
AUS,Australia,2474,Kyogle,LowRes,Australia CR49,Far North coast
AUS,Australia,2475,Urbenville,LowRes,Australia CR49,Far North coast
AUS,Australia,2476,Woodenbong,LowRes,Australia CR49,Far North coast
AUS,Australia,2477,Alstonville,LowRes,Australia CR49,Far North coast
