id,postcode,locality,state,long,lat
20169,2071,NGAANYATJARRA-GILES,WA,128.1150802,-25.27073166
20170,2072,NYAPARI,SA,130.2070878,-26.18249261
20171,2073,NYIRRIPI,NT,131.298809,-21.949513
24067,2074,PAPULANKUTJA,WA,128.2805,-25.9975
20172,2075,PAPUNYA,NT,131.298809,-21.949513
20173,2076,PATJARR,WA,131.6138326,-23.4686864
20174,2077,PETERMANN,NT,131.298809,-21.949513
20175,2079,PIPALYATJARA,SA,129.1456993,-26.17046294
433,2080,PITJANTJATJARA HOMELANDS,NT,131.298809,-21.949513
20176,2081,PUKATJA,SA,132.138154,-26.29118818
20177,2082,SANDOVER,NT,131.298809,-21.949513
434,2083,SANTA TERESA,NT,131.298809,-21.949513
20178,2084,SIMPSON,NT,131.298809,-21.949513
20179,2085,TANAMI,NT,131.298809,-21.949513
20180,2086,TARA,NT,131.298809,-21.949513
24029,2087,TELEGRAPH STATION,NT,131.298809,-21.949513
435,2088,THANGKENHARENGE,NT,131.298809,-21.949513
436,2089,TI TREE,NT,131.298809,-21.949513
20181,2090,TIEYON,SA,133.8900188,-26.34253111
20182,2091,TITJIKALA,NT,131.298809,-21.949513
20183,2092,TJIRRKARLI,WA,125.3466253,-25.9752687
20184,2093,TJUKURLA,WA,128.656027,-24.343546
439,2094,ULURU,NT,131.298809,-21.949513
440,2095,UMPANGARA,NT,131.298809,-21.949513
20185,2096,UMUWA,SA,132.0252848,-26.47801156
441,2097,URAPUNTJA,NT,131.298809,-21.949513
20186,2099,WALLACE ROCKHOLE,NT,131.298809,-21.949513
443,2100,WANARN,NT,131.298809,-21.949513
444,2101,WARAKURNA,WA,131.298809,-21.949513
20187,2102,WATARRU,SA,129.9052488,-27.02469871
20188,2103,WATINUMA,SA,131.8810186,-26.52118731
445,2104,WILLOWRA,NT,131.298809,-21.949513
20189,2105,WILORA,NT,131.298809,-21.949513
20190,2106,WINGELLINA,WA,131.6138326,-23.4686864
20191,2107,WUTUNUGURRA,NT,131.298809,-21.949513
448,2108,YUELAMU,NT,131.298809,-21.949513
449,2109,YUENDUMU,NT,131.298809,-21.949513
450,2110,YULARA,NT,131.298809,-21.949513
20192,2111,YUNYARINYI,SA,132.4550072,-26.32328109
20193,2112,AMOONGUNA,NT,133.9050112,-23.74471408
20194,2113,ARUMBERA,NT,133.9050112,-23.74471408
20195,2114,CONNELLAN,NT,133.9050112,-23.74471408
24068,2115,HEAVITREE GAP CPA,NT,133.9050112,-23.74471408
20196,2116,ILPARPA,NT,133.9050112,-23.74471408
20197,2117,KILGARIFF,NT,133.9050112,-23.74471408
20198,2118,ROSS,NT,133.9050112,-23.74471408
20199,2119,IRLPME,NT,133.8647591,-23.64690294
20200,2120,MOUNT JOHNS,NT,133.9123902,-23.72335988
20201,2121,UNDOOLYA,NT,133.9224797,-23.68480339
20202,2122,FLYNN,NT,133.8354205,-23.71350386
20203,2123,LARAPINTA,NT,133.8311794,-23.68028355
20204,2124,GAPUWIYAK,NT,135.7954286,-12.50557433
452,2125,GOVE,NT,136.824863,-11.670366
20205,2126,GUNYANGARA,NT,136.7083085,-12.21424182
453,2127,NHULUNBUY,NT,136.824863,-11.670366
20206,2128,YIRRKALA,NT,136.8772098,-12.2425718
455,2129,NHULUNBUY,NT,136.824863,-11.670366
20207,2130,ALYANGULA,NT,136.420066,-13.85078586
457,2131,JABIRU,NT,132.563373,-13.13118
1,2132,WINNELLIE,NT,136.947051,-13.643283
2,2133,WINNELLIE,NT,136.947051,-13.643283
3,2134,CHARLES DARWIN UNIVERSITY,NT,130.869,-12.3718
23913,2135,UNIVERSITY,NT,130.869,-12.3718
458,2136,SYDNEY,NSW,151.268071,-33.794883
459,2137,SYDNEY,NSW,151.268071,-33.794883
460,2138,SYDNEY,NSW,151.268071,-33.794883
461,2139,SYDNEY,NSW,151.268071,-33.794883
462,2140,SYDNEY,NSW,151.268071,-33.794883
463,2141,SYDNEY,NSW,151.268071,-33.794883
464,2142,SYDNEY,NSW,151.268071,-33.794883
465,2143,SYDNEY,NSW,151.268071,-33.794883
466,2144,SYDNEY,NSW,151.268071,-33.794883
467,2145,SYDNEY,NSW,151.268071,-33.794883
468,2146,SYDNEY,NSW,151.268071,-33.794883
469,2147,SYDNEY,NSW,151.268071,-33.794883
470,2148,SYDNEY,NSW,151.268071,-33.794883
471,2150,SYDNEY,NSW,151.268071,-33.794883
472,2151,SYDNEY,NSW,151.268071,-33.794883
473,2152,SYDNEY,NSW,151.268071,-33.794883
474,2153,SYDNEY,NSW,151.268071,-33.794883
475,2154,SYDNEY,NSW,151.268071,-33.794883
476,2155,SYDNEY,NSW,151.268071,-33.794883
477,2156,SYDNEY,NSW,151.268071,-33.794883
478,2157,SYDNEY,NSW,151.268071,-33.794883
479,2158,SYDNEY,NSW,150.874182,-33.662834
480,2159,SYDNEY,NSW,151.268071,-33.794883
481,2160,SYDNEY,NSW,151.268071,-33.794883
482,2161,SYDNEY,NSW,151.268071,-33.794883
483,2162,SYDNEY,NSW,151.268071,-33.794883
