Country Name,Cresta Id,Zone Code,Zone Name
Australia,Australia CR42,2555,Sydney West
Australia,Australia CR42,2556,Sydney West
Australia,Australia CR42,2557,Sydney West
Australia,Australia CR41,2558,Sydney South
Australia,Australia CR41,2559,Sydney South
Australia,Australia CR41,2560,Sydney South
Australia,Australia CR38,2563,South-West NSW
Australia,Australia CR41,2564,Sydney South
Australia,Australia CR41,2565,Sydney South
Australia,Australia CR41,2566,Sydney South
Australia,Australia CR42,2567,Sydney West
Australia,Australia CR38,2568,South-West NSW
Australia,Australia CR38,2569,South-West NSW
Australia,Australia CR38,2570,South-West NSW
Australia,Australia CR38,2571,South-West NSW
Australia,Australia CR38,2572,South-West NSW
Australia,Australia CR38,2573,South-West NSW
Australia,Australia CR38,2574,South-West NSW
Australia,Australia CR38,2575,South-West NSW
Australia,Australia CR38,2576,South-West NSW
Australia,Australia CR38,2577,South-West NSW
Australia,Australia CR35,2578,South Coast NSW
Australia,Australia CR38,2579,South-West NSW
Australia,Australia CR38,2580,South-West NSW
Australia,Australia CR38,2581,South-West NSW
Australia,Australia CR38,2582,South-West NSW
Australia,Australia CR38,2583,South-West NSW
Australia,Australia CR38,2584,South-West NSW
Australia,Australia CR38,2585,South-West NSW
Australia,Australia CR38,2586,South-West NSW
Australia,Australia CR38,2587,South-West NSW
Australia,Australia CR38,2588,South-West NSW
Australia,Australia CR38,2590,South-West NSW
Australia,Australia CR38,2594,South-West NSW
Australia,Australia CR39,2600,Australian Capital Territory
Australia,Australia CR39,2601,Australian Capital Territory
Australia,Australia CR39,2602,Australian Capital Territory
Australia,Australia CR39,2603,Australian Capital Territory
Australia,Australia CR39,2604,Australian Capital Territory
Australia,Australia CR39,2605,Australian Capital Territory
Australia,Australia CR39,2606,Australian Capital Territory
Australia,Australia CR39,2607,Australian Capital Territory
Australia,Australia CR39,2609,Australian Capital Territory
Australia,Australia CR38,2611,South-West NSW
Australia,Australia CR39,2612,Australian Capital Territory
Australia,Australia CR39,2614,Australian Capital Territory
Australia,Australia CR39,2615,Australian Capital Territory
Australia,Australia CR39,2617,Australian Capital Territory
Australia,Australia CR38,2618,South-West NSW
Australia,Australia CR38,2619,South-West NSW
Australia,Australia CR38,2620,South-West NSW
Australia,Australia CR38,2621,South-West NSW
Australia,Australia CR35,2622,South Coast NSW
Australia,Australia CR38,2623,South-West NSW
Australia,Australia CR38,2626,South-West NSW
Australia,Australia CR38,2627,South-West NSW
Australia,Australia CR38,2628,South-West NSW
Australia,Australia CR38,2629,South-West NSW
Australia,Australia CR38,2630,South-West NSW
Australia,Australia CR38,2631,South-West NSW
Australia,Australia CR38,2632,South-West NSW
Australia,Australia CR38,2633,South-West NSW
Australia,Australia CR38,2640,South-West NSW
Australia,Australia CR38,2641,South-West NSW
Australia,Australia CR38,2642,South-West NSW
Australia,Australia CR38,2643,South-West NSW
Australia,Australia CR38,2644,South-West NSW
Australia,Australia CR38,2645,South-West NSW
Australia,Australia CR38,2646,South-West NSW
Australia,Australia CR38,2647,South-West NSW
Australia,Australia CR38,2648,South-West NSW
Australia,Australia CR38,2649,South-West NSW
Australia,Australia CR38,2650,South-West NSW
Australia,Australia CR38,2651,South-West NSW
Australia,Australia CR38,2652,South-West NSW
Australia,Australia CR38,2653,South-West NSW
Australia,Australia CR38,2655,South-West NSW
Australia,Australia CR38,2656,South-West NSW
Australia,Australia CR38,2658,South-West NSW
Australia,Australia CR38,2659,South-West NSW
Australia,Australia CR38,2660,South-West NSW
Australia,Australia CR38,2661,South-West NSW
Australia,Australia CR38,2663,South-West NSW
Australia,Australia CR38,2665,South-West NSW
Australia,Australia CR38,2666,South-West NSW
Australia,Australia CR38,2668,South-West NSW
Australia,Australia CR38,2669,South-West NSW
Australia,Australia CR38,2671,South-West NSW
Australia,Australia CR38,2672,South-West NSW
Australia,Australia CR38,2675,South-West NSW
Australia,Australia CR38,2678,South-West NSW
Australia,Australia CR38,2680,South-West NSW
Australia,Australia CR38,2681,South-West NSW
Australia,Australia CR38,2700,South-West NSW
Australia,Australia CR38,2701,South-West NSW
Australia,Australia CR38,2702,South-West NSW
Australia,Australia CR38,2703,South-West NSW
Australia,Australia CR38,2705,South-West NSW
Australia,Australia CR38,2706,South-West NSW
Australia,Australia CR38,2707,South-West NSW
Australia,Australia CR38,2710,South-West NSW
Australia,Australia CR38,2711,South-West NSW
Australia,Australia CR38,2712,South-West NSW
Australia,Australia CR38,2713,South-West NSW
Australia,Australia CR38,2714,South-West NSW
Australia,Australia CR38,2715,South-West NSW
Australia,Australia CR38,2716,South-West NSW
Australia,Australia CR38,2717,South-West NSW
Australia,Australia CR38,2720,South-West NSW
Australia,Australia CR38,2721,South-West NSW
Australia,Australia CR38,2722,South-West NSW
Australia,Australia CR38,2725,South-West NSW
Australia,Australia CR38,2726,South-West NSW
Australia,Australia CR38,2727,South-West NSW
Australia,Australia CR38,2729,South-West NSW
Australia,Australia CR38,2730,South-West NSW
Australia,Australia CR38,2731,South-West NSW
Australia,Australia CR38,2732,South-West NSW
Australia,Australia CR38,2733,South-West NSW
Australia,Australia CR38,2734,South-West NSW
Australia,Australia CR38,2735,South-West NSW
Australia,Australia CR38,2736,South-West NSW
Australia,Australia CR38,2737,South-West NSW
Australia,Australia CR38,2738,South-West NSW
Australia,Australia CR38,2739,South-West NSW
Australia,Australia CR42,2745,Sydney West
Australia,Australia CR42,2747,Sydney West
Australia,Australia CR42,2748,Sydney West
Australia,Australia CR42,2749,Sydney West
Australia,Australia CR42,2750,Sydney West
Australia,Australia CR38,2752,South-West NSW
Australia,Australia CR42,2753,Sydney West
Australia,Australia CR42,2754,Sydney West
Australia,Australia CR47,2756,Northern Slopes
Australia,Australia CR42,2757,Sydney West
Australia,Australia CR47,2758,Northern Slopes
Australia,Australia CR42,2759,Sydney West
Australia,Australia CR42,2760,Sydney West
Australia,Australia CR42,2761,Sydney West
Australia,Australia CR42,2762,Sydney West
Australia,Australia CR42,2763,Sydney West
Australia,Australia CR42,2765,Sydney West
Australia,Australia CR42,2766,Sydney West
Australia,Australia CR42,2767,Sydney West
Australia,Australia CR42,2768,Sydney West
Australia,Australia CR42,2769,Sydney West
Australia,Australia CR42,2770,Sydney West
Australia,Australia CR45,2773,Blue Mountains
Australia,Australia CR45,2774,Blue Mountains
Australia,Australia CR47,2775,Northern Slopes
Australia,Australia CR45,2776,Blue Mountains
Australia,Australia CR45,2777,Blue Mountains
Australia,Australia CR45,2778,Blue Mountains
Australia,Australia CR45,2779,Blue Mountains
Australia,Australia CR45,2780,Blue Mountains
Australia,Australia CR45,2782,Blue Mountains
Australia,Australia CR45,2783,Blue Mountains
Australia,Australia CR45,2784,Blue Mountains
Australia,Australia CR45,2785,Blue Mountains
Australia,Australia CR45,2786,Blue Mountains
Australia,Australia CR38,2787,South-West NSW
Australia,Australia CR45,2790,Blue Mountains
Australia,Australia CR38,2791,South-West NSW
Australia,Australia CR38,2792,South-West NSW
Australia,Australia CR38,2793,South-West NSW
Australia,Australia CR38,2794,South-West NSW
Australia,Australia CR38,2795,South-West NSW
Australia,Australia CR38,2797,South-West NSW
Australia,Australia CR38,2798,South-West NSW
Australia,Australia CR38,2799,South-West NSW
Australia,Australia CR38,2800,South-West NSW
Australia,Australia CR38,2803,South-West NSW
Australia,Australia CR38,2804,South-West NSW
Australia,Australia CR38,2805,South-West NSW
Australia,Australia CR38,2806,South-West NSW
Australia,Australia CR38,2807,South-West NSW
Australia,Australia CR38,2808,South-West NSW
Australia,Australia CR38,2809,South-West NSW
Australia,Australia CR38,2810,South-West NSW
Australia,Australia CR47,2817,Northern Slopes
Australia,Australia CR38,2818,South-West NSW
Australia,Australia CR38,2820,South-West NSW
Australia,Australia CR38,2821,South-West NSW
Australia,Australia CR38,2822,South-West NSW
Australia,Australia CR38,2823,South-West NSW
Australia,Australia CR38,2824,South-West NSW
Australia,Australia CR38,2825,South-West NSW
Australia,Australia CR38,2826,South-West NSW
Australia,Australia CR38,2827,South-West NSW
Australia,Australia CR47,2828,Northern Slopes
Australia,Australia CR47,2829,Northern Slopes
Australia,Australia CR38,2830,South-West NSW
Australia,Australia CR38,2831,South-West NSW
Australia,Australia CR38,2832,South-West NSW
Australia,Australia CR38,2833,South-West NSW
Australia,Australia CR38,2834,South-West NSW
Australia,Australia CR38,2835,South-West NSW
Australia,Australia CR38,2836,South-West NSW
Australia,Australia CR38,2838,South-West NSW
Australia,Australia CR38,2839,South-West NSW
Australia,Australia CR38,2840,South-West NSW
Australia,Australia CR47,2842,Northern Slopes
Australia,Australia CR38,2843,South-West NSW
Australia,Australia CR38,2844,South-West NSW
Australia,Australia CR45,2845,Blue Mountains
Australia,Australia CR47,2846,Northern Slopes
Australia,Australia CR38,2847,South-West NSW
Australia,Australia CR38,2848,South-West NSW
Australia,Australia CR38,2849,South-West NSW
Australia,Australia CR38,2850,South-West NSW
Australia,Australia CR38,2852,South-West NSW
Australia,Australia CR38,2864,South-West NSW
Australia,Australia CR38,2865,South-West NSW
Australia,Australia CR38,2866,South-West NSW
Australia,Australia CR38,2867,South-West NSW
Australia,Australia CR38,2868,South-West NSW
Australia,Australia CR38,2869,South-West NSW
Australia,Australia CR38,2870,South-West NSW
Australia,Australia CR38,2871,South-West NSW
Australia,Australia CR38,2873,South-West NSW
Australia,Australia CR38,2874,South-West NSW
Australia,Australia CR38,2875,South-West NSW
Australia,Australia CR38,2876,South-West NSW
Australia,Australia CR38,2877,South-West NSW
Australia,Australia CR38,2878,South-West NSW
Australia,Australia CR38,2879,South-West NSW
Australia,Australia CR38,2880,South-West NSW
Australia,Australia CR48,2898,Mid-North coast
Australia,Australia CR49,2899,Far North coast
Australia,Australia CR39,2900,Australian Capital Territory
Australia,Australia CR39,2902,Australian Capital Territory
Australia,Australia CR39,2903,Australian Capital Territory
Australia,Australia CR39,2904,Australian Capital Territory
Australia,Australia CR39,2905,Australian Capital Territory
Australia,Australia CR39,2906,Australian Capital Territory
Australia,Australia CR39,2911,Australian Capital Territory
Australia,Australia CR39,2912,Australian Capital Territory
Australia,Australia CR39,2913,Australian Capital Territory
Australia,Australia CR39,2914,Australian Capital Territory
Australia,Australia CR33,3000,Melbourne
Australia,Australia CR33,3002,Melbourne
Australia,Australia CR33,3003,Melbourne
Australia,Australia CR33,3004,Melbourne
Australia,Australia CR33,3006,Melbourne
Australia,Australia CR33,3008,Melbourne
Australia,Australia CR33,3011,Melbourne
Australia,Australia CR33,3012,Melbourne
Australia,Australia CR33,3013,Melbourne
Australia,Australia CR33,3015,Melbourne
Australia,Australia CR33,3016,Melbourne
Australia,Australia CR33,3018,Melbourne
